Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
08;30;266;Wetter;Was zeigt die folgende Abbildung?;;Abbildung eines Tiefdruckgebietes auf der Nordhalbkugel mit Kaltfront vor der Warmfront, Angabe des Luftdrucks in hPa, Warmfront südlich, Kaltfront nördlich des Zentrums.;Abbildung eines Tiefdruckgebietes auf der Südhalbkugel mit Warmfront vor der Kaltfront, Angabe des Luftdrucks in hPa, Darstellung des Kalt- und Warmluftstroms.;Abbildung eines Tiefdruckgebietes auf der Südhalbkugel mit Kalt- und Warmfront, Isobaren mit Angabe des Luftdrucks in hPa, kalte und warme Luftströmung.;Abbildung eines Tiefdruckgebietes auf der Nordhalbkugel mit Warm- und Kaltfront, Isobaren mit Angabe des Luftdrucks in hPa, warme und kalte Luftströmung.;D;Abbildung eines Tiefdruckgebietes auf der Nordhalbkugel mit Warm- und Kaltfront, Isobaren mit Angabe des Luftdrucks in hPa, warme und kalte Luftströmung.;bilder/spezifische_fragen_see_Abbildung-Frage-266-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Abbildung-Frage-266-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/08
09;1;3;Grundlagen;Wann ist ein Fahrzeug in Fahrt?;;Wenn es weder vor Anker liegt noch an Land festgemacht ist noch Fahrt über Grund macht.;Wenn es weder auf Grund sitzt noch vor Anker liegt noch manövrierbehindert oder manövrierunfähig ist.;Wenn es weder an Land festgemacht ist noch vor Anker liegt noch Fahrt durchs Wasser macht.;Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.;D;Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;2;15;Verkehrsvorschriften;Zwei Motorboote nähern sich auf kreuzenden Kursen. Es besteht die Gefahr eines Zusammenstoßes. Wer ist ausweichpflichtig?;;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Backbordseite hat.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;D;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;3;27;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne Antriebsmaschine befahrbar.;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne laufende Antriebsmaschine befahrbar.;Verbot der Durchfahrt und Sperrung für Kleinfahrzeuge.;Verbot der Durchfahrt und Sperrung der Schifffahrt.;D;Verbot der Durchfahrt und Sperrung der Schifffahrt.;bilder/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;4;38;Sicherheit;Wo finden Sie Informationen über umweltfreundliche Farben, Lacke und Antifouling-Beschichtungen für Ihr Boot?;;In der Sportbootvermietungsverordnung.;In der Sportbootführerscheinverordnung.;Beim Bundesministerium für Digitales und Verkehr.;Beim Umweltbundesamt.;D;Beim Umweltbundesamt.;;;"Basisfragen;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;5;43;Umwelt- & Naturschutz;Was ist zu unternehmen, wenn Treibstoff oder Öl in die Bilge gelangt?;;Mit entsprechendem Mittel neutralisieren.;Mit Lappen aufnehmen und umweltgerecht entsorgen.;Räume lüften und abwarten.;Gleichmäßig verteilen.;B;Mit Lappen aufnehmen und umweltgerecht entsorgen.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;6;48;Grundlagen;Welche Anlegeseite ist mit rechtsdrehendem Propeller empfehlenswert und warum?;;Es gibt keine empfehlenswerte Anlegeseite.;Die Steuerbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;Die Steuerbord- oder Backbordseite je nach Ruderlage.;Die Backbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;D;Die Backbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;7;50;Grundlagen;Wodurch wird bei einem Fahrzeug mit Außenbordmotor und ohne Ruderanlage die Ruderwirkung erzielt?;;Durch den Schraubenwiderstand und Anstellwinkel des Propellers.;Durch Schraubenstrom und Anstellwinkel des Propellers.;Durch den Schraubenwiderstand und Richtung des Propellers.;Durch Schraubenstrom und Richtung des Propellers.;D;Durch Schraubenstrom und Richtung des Propellers.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;8;78;Vorschriften & Gesetze;Welche Sicherheitsmaßnahmen hat der Fahrzeugführer im Rahmen seiner seemännischen Sorgfaltspflicht vor Fahrtantritt zum Schutze und für die Sicherheit der Personen an Bord zu treffen?;;Der Fahrzeugführer hat die verantwortlichen Besatzungsmitglieder über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer muss die Besatzungsmitglieder und Gäste anweisen, dass sie sich über die Sicherheitsvorkehrungen an Bord informieren, sich die Gebrauchsanweisungen der Rettungs- und Feuerlöschmittel ansehen und auf geeignete Maßnahmen gegen das Überbordfallen achten, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer hat die Gäste an Bord über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;Der Fahrzeugführer hat die Besatzungsmitglieder und Gäste über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;D;Der Fahrzeugführer hat die Besatzungsmitglieder und Gäste über die Sicherheitsvorkehrungen an Bord zu unterrichten, in die Handhabung der Rettungs- und Feuerlöschmittel einzuweisen und auf geeignete Maßnahmen gegen das Überbordfallen hinzuweisen, zudem darauf, dass ständig angelegte Rettungswesten die Überlebenschancen im Wasser erhöhen.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;9;81;Vorschriften & Gesetze;Wann gilt ein Fahrzeug als überholendes Fahrzeug?;;Wenn es sich einem anderen Fahrzeug aus einer Richtung von mehr als 112,5° achterlicher als querab (Bereich der Seitenlichter) nähert.;Wenn es sich einem anderen Fahrzeug aus einer Richtung von mehr als 22,5° achterlicher als querab (Bereich des Hecklichtes) nähert.;Wenn es sich einem anderen Fahrzeug gegenüber in einer Richtung von mehr als 22,5° achterlicher als querab (Bereich des Hecklichtes) befindet.;Wenn es an einem anderen Fahrzeug aus einer achterlichen Richtung von mehr als 22,5° querab kommend (Bereich des Topplichtes) vorbeifährt.;B;Wenn es sich einem anderen Fahrzeug aus einer Richtung von mehr als 22,5° achterlicher als querab (Bereich des Hecklichtes) nähert.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;10;86;Vorschriften & Gesetze;Welche Positionslaternen und Schallsignalanlagen dürfen auf Sportbooten unter deutscher Flagge verwendet werden?;;Solche, die gemäß der Kollisionsverhütungsregeln (KVR), der Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und der Schifffahrtsordnung Emsmündung (EmsSchO) vorgeschrieben sind und ein CE-Zeichen haben.;Solche, deren Baumuster vom Bundesamt für Seeschifffahrt und Hydrographie (BSH) zur Verwendung zugelassen sind oder eine als gleichwertig anerkannte Zulassung eines EU-Staates besitzen.;Solche, die die vorgeschriebene Mindesttragweite von drei Seemeilen, die Größe und Farbgebung bzw. Lautstärke erreichen und mit einer Bescheinigung einer Klassifikationsgesellschaft versehen sind.;Solche, die vom Technischen Überwachungsverein (TÜV) geprüft und mit dem Zeichen für geprüfte Sicherheit (GS) versehen sind.;B;Solche, deren Baumuster vom Bundesamt für Seeschifffahrt und Hydrographie (BSH) zur Verwendung zugelassen sind oder eine als gleichwertig anerkannte Zulassung eines EU-Staates besitzen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;11;90;Grundlagen;Was bedeutet sichere Geschwindigkeit?;;Die Geschwindigkeit muss der Verkehrslage, den Sicht- und Witterungsverhältnissen und dem Treibstoffverbrauch angepasst sein.;Die Geschwindigkeit muss der Verkehrslage, den Sicht- und Witterungsverhältnissen angepasst sein und der Verkehr darf nicht behindert werden.;Die Geschwindigkeit muss der Verkehrslage, dem Verkehrsaufkommen, den Seegangs- und Windverhältnissen angepasst sein, so dass kein Sog und Wellenschlag entsteht.;Die Geschwindigkeit muss der Verkehrslage, den Sicht- und Witterungsverhältnissen angepasst sein und es muss jederzeit aufgestoppt werden können.;D;Die Geschwindigkeit muss der Verkehrslage, den Sicht- und Witterungsverhältnissen angepasst sein und es muss jederzeit aufgestoppt werden können.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;12;96;Lichterführung & Signalkörper;Was bedeutet es, wenn jedes Fahrzeug eines Schleppverbandes einen schwarzen Rhombus führt?;;Schleppverband von mehr als 50 m Länge.;Schleppverband von mehr als 100 m Länge.;Schleppverband von weniger als 50 m Länge.;Schleppverband von mehr als 200 m Länge.;D;Schleppverband von mehr als 200 m Länge.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;13;106;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Signalkörper?;;Ein manövrierunfähiges Fahrzeug.;Ein fischendes Fahrzeug.;Ein Grundsitzer.;Ein manövrierbehindertes Fahrzeug.;C;Ein Grundsitzer.;bilder/spezifische_fragen_see_Signalkoerper-Frage-106-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Signalkoerper-Frage-106-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;14;117;Signale;Sie hören bei verminderter Sicht mindestens alle zwei Minuten zwei aufeinander folgende lange Töne mit der Pfeife. Welches Fahrzeug gibt dieses Signal?;;Ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt.;Ein Fahrzeug mit gefährlicher Ladung vor Anker von weniger als 100 m Länge.;Ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein vor Anker liegendes Fahrzeug von 100 und mehr Meter Länge.;C;Ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;bilder/spezifische_fragen_see_Schallsignal-122-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-122-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;15;119;Signale;Welches Fahrzeug gibt bei verminderter Sicht - im Anschluss an das Signal: lang, kurz, kurz - vier aufeinander folgende Töne mit der Pfeife, und zwar: lang, kurz, kurz, kurz?;;Ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt.;Ein manövrierunfähiges Fahrzeug von weniger als 100 m Länge.;Ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein Fahrzeug mit gefährlicher Ladung vor Anker von weniger als 100 m Länge.;A;Ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt.;"bilder/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;bilder/spezifische_fragen_see_Schallsignal-Frage-119-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-119-gif.png";"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;16;128;Verkehrsvorschriften;Wie hat sich ein Maschinenfahrzeug im freien Seeraum oder außerhalb des Fahrwassers gegenüber einem in Sicht befindlichen Segelfahrzeug zu verhalten, wenn die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Das Maschinenfahrzeug muss seine Fahrt verringern.;Das Maschinenfahrzeug muss vorsichtig manövrieren bis die Gefahr vorüber ist.;Das Maschinenfahrzeug muss ausweichen.;Das Maschinenfahrzeug muss Kurs und Geschwindigkeit beibehalten.;C;Das Maschinenfahrzeug muss ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;17;144;Vorschriften & Gesetze;In welcher Vorschrift findet man die Regeln zum Befahren von Verkehrstrennungsgebieten?;;"In den ""Bekanntmachungen der Generaldirektion Wasserstraßen und Schifffahrt (GDWS)"".";In der Seeschifffahrtsstraßen-Ordnung.;In den Kollisionsverhütungsregeln.;In den Kollisionsverhütungsregeln und der Seeschifffahrtsstraßen-Ordnung.;C;In den Kollisionsverhütungsregeln.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;18;153;Vorschriften & Gesetze;Welche örtlichen Sondervorschriften zusätzlich zur Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und zur Schifffahrtsordnung Emsmündung (EmsSchO) gibt es und was ist darin geregelt?;;Die Nachrichten für Seefahrer (NfS), herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie, sowie die Bekanntmachungen für Seefahrer (BfS) der örtlich zuständigen Wasserstraßen- und Schifffahrtsämter, die auf alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks und Untiefen sowie auf die Schifffahrt betreffende Maßnahmen und Ereignisse hinweisen.;Das Seesicherheitsuntersuchungsgesetz sowie die Verordnung über die Sicherung der Seefahrt, die jeweils wichtige Vorschriften über das Verhalten nach einem Zusammenstoß auf den jeweiligen Seeschifffahrtsstraßen enthalten.;Die Bekanntmachungen der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS), die besondere örtliche Regelungen enthalten und Hinweise für die einzelnen Seeschifffahrtsstraßen geben.;"Die Bekanntmachung der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS) sowie die nautische Veröffentlichung ""Sicherheit auf dem Wasser"", herausgegeben durch das Bundesministerium für Digitales und Verkehr (BMDV), mit wichtigen Regeln und Tipps für Wassersportler.";C;Die Bekanntmachungen der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS), die besondere örtliche Regelungen enthalten und Hinweise für die einzelnen Seeschifffahrtsstraßen geben.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;19;160;Vorschriften & Gesetze;Wann darf ein Maschinenfahrzeug von weniger als 7 m Länge auf Seeschifffahrtsstraßen nicht fahren, wenn es die nach den Kollisionsverhütungsregeln (KVR) vorgeschriebenen Lichter nicht führen kann?;;Es darf in der Zeit zwischen Sonnenaufgang und Sonnenuntergang nicht fahren.;Es darf in der Zeit zwischen Sonnenuntergang und Sonnenaufgang nicht fahren.;Es darf in der Zeit, in der die Lichterführung vorgeschrieben ist, nicht fahren, es sei denn, dass ein Notstand vorliegt.;Es darf in der Zeit, in der die Lichterführung vorgeschrieben ist, nur dann fahren, wenn ein betriebsbedingtes Signalhorn an Bord ist.;C;Es darf in der Zeit, in der die Lichterführung vorgeschrieben ist, nicht fahren, es sei denn, dass ein Notstand vorliegt.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;20;165;Verkehrsvorschriften;Wie haben sich Fahrzeuge zu verhalten, die in ein Fahrwasser einlaufen, ein Fahrwasser queren, im Fahrwasser drehen oder ihre Anker- und Liegeplätze verlassen?;;Sie haben die Vorfahrt vor den Fahrzeugen im Fahrwasser.;Sie haben ihr Manöver so durchzuführen, dass andere Fahrzeuge nicht behindert werden.;Sie haben einen kurzen Ton als Achtungssignal abzugeben.;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;D;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;21;189;Schifffahrtszeichen;Welche Bedeutung haben folgende Sichtzeichen?;;Außergewöhnliche Schifffahrtsbehinderung.;Schutzbedürftige Anlage.;Zeitweilige Sperrung der Seeschifffahrtsstraße.;Dauernde Sperrung der Seeschifffahrtsstraße.;A;Außergewöhnliche Schifffahrtsbehinderung.;"bilder/spezifische_fragen_see_Warnzeichen-B06-Tag-gif.png;bilder/spezifische_fragen_see_Warnzeichen-B06-Nacht-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Warnzeichen-B06-Tag-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Warnzeichen-B06-Nacht-gif.png";"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;22;195;Schifffahrtszeichen;Welche Bedeutung hat folgende Tonne?;;Backbordseite des durchgehenden Fahrwassers/Steuerbordseite des abzweigenden oder einmündenden Fahrwassers.;Backbordseite des durchgehenden Fahrwassers.;Steuerbordseite des durchgehenden Fahrwassers.;Steuerbordseite des durchgehenden Fahrwassers/Backbordseite des abzweigenden oder einmündenden Fahrwassers.;D;Steuerbordseite des durchgehenden Fahrwassers/Backbordseite des abzweigenden oder einmündenden Fahrwassers.;bilder/spezifische_fragen_see_Tonne-Frage-195-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Tonne-Frage-195-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;23;205;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung?;;Kennzeichnung einer allgemeinen Gefahrenstelle, die westlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die östlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die südlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die nördlich zu passieren ist.;B;Kennzeichnung einer allgemeinen Gefahrenstelle, die östlich zu passieren ist.;bilder/spezifische_fragen_see_Feuer-Frage-205-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Feuer-Frage-205-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;24;219;Umwelt- & Naturschutz;"Welcher Abstand sollte gemäß den ""10 Goldenen Regeln"" für das Verhalten von Wassersportlern mindestens zu Liegeplätzen von Seehunden und zu Vogelansammlungen eingehalten werden?";;100 m bis 300 m.;150 m bis 200 m.;200 m bis 300 m.;300 m bis 500 m.;D;300 m bis 500 m.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;25;220;Schifffahrtszeichen;Was versteht man unter einem Blinkfeuer?;;Lichterscheinung länger als Verdunkelung, Blink mindestens 2 s lang.;Lichterscheinung kürzer als Verdunkelung, Blink weniger als 2 s lang.;Lichterscheinung länger als Verdunkelung, Blink weniger als 2 s lang.;Lichterscheinung kürzer als Verdunkelung, Blink mindestens 2 s lang.;D;Lichterscheinung kürzer als Verdunkelung, Blink mindestens 2 s lang.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;26;240;Navigation;Was versteht man unter einer Seemeile und wie lang ist eine Seemeile (in Metern)?;;Die Länge einer Bogenminute auf einem größten Kreis der Erdkugel, 1.852 m.;Die Länge einer Bogenminute auf dem Nullmeridian, 18,52 km.;Sie entspricht der in einer Stunde zurückgelegten Distanz in Meter, 16,52 km.;Die Länge einer Bogenminute auf einem Breitenparallel, 1.652 m.;A;Die Länge einer Bogenminute auf einem größten Kreis der Erdkugel, 1.852 m.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;27;242;Navigation;Woraus entnimmt man die Magnetkompassablenkung?;;Aus dem Betriebshandbuch des Kompassherstellers.;Aus dem Nautischen Handbuch für Kompassfehlweisung.;Aus der Kompassrose der aktuellen Seekarte.;Aus der für das betreffende Schiff aufgestellten Deviationstabelle.;D;Aus der für das betreffende Schiff aufgestellten Deviationstabelle.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;28;247;Navigation;Was versteht man unter einem Koppelort?;;"Schiffsort, der durch Eintragung der rechtweisenden Peilungen zweier feststehender und bekannter Objekte als Standlinien in die Seekarte ermittelt wird; ihr Schnittpunkt ist der Standort.";Schiffsort, der unter Berücksichtigung der gesteuerten Kurse und zurückgelegten Distanzen und aller vorhersehbaren Einflüsse rechnerisch und zeichnerisch ermittelt wird.;Schiffsort, der ermittelt wird durch Peilung zweier feststehender und bekannter Objekte, die in einem möglichst rechten Winkel (90 Grad) zueinander stehen.;Schiffsort, der unter Berücksichtigung der gesteuerten Kurse und zurückgelegten Distanzen infolge mehrerer Peilungen ermittelt wird.;B;Schiffsort, der unter Berücksichtigung der gesteuerten Kurse und zurückgelegten Distanzen und aller vorhersehbaren Einflüsse rechnerisch und zeichnerisch ermittelt wird.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;29;257;Sicherheit;Was ist zu beachten, wenn ein Sportboot geschleppt werden soll?;;Die Schleppleine ist den Seegangsverhältnissen anzupassen. Die Schleppgeschwindigkeit darf nicht größer sein als die Geschwindigkeit, die der Anhang frei fahrend bei Verdrängerfahrt erreichen kann. Ein ruckartiges Steifkommen der Schleppleine ist zu vermeiden.;Die Schleppleine ist den Wetterverhältnissen anzupassen. Die Schleppgeschwindigkeit darf nicht größer sein als die Geschwindigkeit, die das schleppende Fahrzeug frei fahrend bei Gleitfahrt erreichen kann. Ein ruckartiges Steifkommen der Schleppleine ist zu vermeiden.;Die Schleppleine ist den Wetterverhältnissen anzupassen. Die Schleppgeschwindigkeit darf nicht größer sein als die Geschwindigkeit, die der Anhang frei fahrend bei Gleitfahrt erreichen kann. Ein ruckartiges Steifkommen der Schleppleine ist zu vermeiden.;Die Schleppleine ist den Seegangsverhältnissen anzupassen. Die Schleppgeschwindigkeit darf nicht größer sein als die Geschwindigkeit, die das schleppende Fahrzeug frei fahrend bei Verdrängerfahrt erreichen kann. Ein ruckartiges Steifkommen der Schleppleine ist zu vermeiden.;A;Die Schleppleine ist den Seegangsverhältnissen anzupassen. Die Schleppgeschwindigkeit darf nicht größer sein als die Geschwindigkeit, die der Anhang frei fahrend bei Verdrängerfahrt erreichen kann. Ein ruckartiges Steifkommen der Schleppleine ist zu vermeiden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
09;30;269;Wetter;"Was ist in amtlichen Wetterberichten unter ""frischem Wind"" zu verstehen?";;Windstärke 7 der Beaufortskala.;Windstärke 6 der Beaufortskala.;Windstärke 5 der Beaufortskala.;Windstärke 4 der Beaufortskala.;C;Windstärke 5 der Beaufortskala.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/09
10;1;14;Verkehrsvorschriften;Wie weichen zwei Motorboote aus, die sich auf entgegengesetzten Kursen nähern?;;Jedes Fahrzeug muss seinen Kurs nach Backbord ändern.;Jedes Fahrzeug muss seinen Kurs nach Steuerbord ändern.;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;B;Jedes Fahrzeug muss seinen Kurs nach Steuerbord ändern.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;2;27;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne Antriebsmaschine befahrbar.;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne laufende Antriebsmaschine befahrbar.;Verbot der Durchfahrt und Sperrung für Kleinfahrzeuge.;Verbot der Durchfahrt und Sperrung der Schifffahrt.;D;Verbot der Durchfahrt und Sperrung der Schifffahrt.;bilder/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;3;28;Schifffahrtszeichen;Welche Bedeutung haben folgende Schifffahrtszeichen?;;Brücke, Sperrwerk oder Schleuse geschlossen.;Anlage dauerhaft gesperrt.;Außergewöhnliche Schifffahrtsbehinderung.;Stoppsignal für alle Fahrzeuge.;A;Brücke, Sperrwerk oder Schleuse geschlossen.;bilder/basisfragen_Gebotszeichen-A19aa-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Gebotszeichen-A19aa-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
